ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0071479	cellular response to ionizing radiation	3/41	70/18870	0,000471049	0,0331661	0,025220254	675/11200/672	3	BP
GO:0050680	negative regulation of epithelial cell proliferation	4/41	173/18870	0,00053031	0,035715248	0,027158685	675/1030/498/4851	4	BP
GO:0031573	mitotic intra-S DNA damage checkpoint signaling	2/41	17/18870	0,000613603	0,036556566	0,027798442	4436/11200	2	BP
GO:0060253	negative regulation of glial cell proliferation	2/41	17/18870	0,000613603	0,036556566	0,027798442	1030/4851	2	BP
GO:0072109	glomerular mesangium development	2/41	17/18870	0,000613603	0,036556566	0,027798442	5159/4851	2	BP
GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	2/41	18/18870	0,000689354	0,038048056	0,028932605	675/11200	2	BP
GO:0042772	DNA damage response, signal transduction resulting in transcription	2/41	19/18870	0,000769395	0,038048056	0,028932605	675/11200	2	BP
GO:0060977	coronary vasculature morphogenesis	2/41	19/18870	0,000769395	0,038048056	0,028932605	5159/4851	2	BP
GO:0044773	mitotic DNA damage checkpoint signaling	3/41	83/18870	0,000775335	0,038048056	0,028932605	4436/11200/672	3	BP
GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	3/41	84/18870	0,000802842	0,038048056	0,028932605	675/4436/11200	3	BP
GO:0006310	DNA recombination	5/41	340/18870	0,000811333	0,038048056	0,028932605	675/4436/83990/672/57697	5	BP
GO:0140013	meiotic nuclear division	4/41	194/18870	0,000814603	0,038048056	0,028932605	675/83990/57697/51759	4	BP
GO:1901991	negative regulation of mitotic cell cycle phase transition	4/41	196/18870	0,00084634	0,038048056	0,028932605	11200/672/1030/51339	4	BP
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	3/41	86/18870	0,000859704	0,038048056	0,028932605	11200/1030/51339	3	BP
GO:0044774	mitotic DNA integrity checkpoint signaling	3/41	87/18870	0,00088907	0,038254696	0,029089739	4436/11200/672	3	BP
GO:0060973	cell migration involved in heart development	2/41	21/18870	0,000942275	0,039448201	0,029997307	5159/4851	2	BP
GO:0007281	germ cell development	5/41	359/18870	0,001034771	0,041523337	0,031575287	675/4436/83990/1080/255101	5	BP
GO:0071103	DNA conformation change	3/41	92/18870	0,001045455	0,041523337	0,031575287	83990/57697/116447	3	BP
GO:1902807	negative regulation of cell cycle G1/S phase transition	3/41	95/18870	0,001147121	0,043213082	0,032860208	11200/1030/51339	3	BP
GO:1903046	meiotic cell cycle process	4/41	214/18870	0,001172446	0,043213082	0,032860208	675/83990/57697/51759	4	BP
GO:0030277	maintenance of gastrointestinal epithelium	2/41	24/18870	0,001233319	0,043213082	0,032860208	4585/4583	2	BP
GO:2000001	regulation of DNA damage checkpoint	2/41	24/18870	0,001233319	0,043213082	0,032860208	675/672	2	BP
GO:2001026	regulation of endothelial cell chemotaxis	2/41	24/18870	0,001233319	0,043213082	0,032860208	2260/4851	2	BP
GO:1902115	regulation of organelle assembly	4/41	218/18870	0,001255383	0,043213082	0,032860208	672/6712/64147/9924	4	BP
GO:0006312	mitotic recombination	2/41	25/18870	0,001338722	0,045080025	0,034279874	675/4436	2	BP
GO:0097306	cellular response to alcohol	3/41	103/18870	0,001448145	0,046732843	0,035536714	672/1080/31	3	BP
GO:1901655	cellular response to ketone	3/41	103/18870	0,001448145	0,046732843	0,035536714	1080/31/498	3	BP
GO:0008406	gonad development	4/41	233/18870	0,00160317	0,050679788	0,03853806	675/4436/83990/4851	4	BP
GO:0045137	development of primary sexual characteristics	4/41	238/18870	0,001732651	0,052660293	0,040044081	675/4436/83990/4851	4	BP
GO:0050678	regulation of epithelial cell proliferation	5/41	407/18870	0,001801605	0,052660293	0,040044081	675/1030/2260/498/4851	5	BP
GO:0010165	response to X-ray	2/41	29/18870	0,001801805	0,052660293	0,040044081	675/4436	2	BP
GO:0072012	glomerulus vasculature development	2/41	29/18870	0,001801805	0,052660293	0,040044081	5159/4851	2	BP
GO:0035767	endothelial cell chemotaxis	2/41	31/18870	0,002057981	0,056925218	0,043287227	2260/4851	2	BP
GO:0061437	renal system vasculature development	2/41	31/18870	0,002057981	0,056925218	0,043287227	5159/4851	2	BP
GO:0061440	kidney vasculature development	2/41	31/18870	0,002057981	0,056925218	0,043287227	5159/4851	2	BP
GO:0007059	chromosome segregation	5/41	424/18870	0,002153876	0,058532519	0,044509455	11200/83990/672/9055/51759	5	BP
GO:0097305	response to alcohol	4/41	254/18870	0,00219579	0,05864273	0,044593262	672/1080/31/498	4	BP
GO:0006301	postreplication repair	2/41	34/18870	0,002472645	0,063835462	0,048541933	4436/672	2	BP
GO:0010669	epithelial structure maintenance	2/41	34/18870	0,002472645	0,063835462	0,048541933	4585/4583	2	BP
GO:0070633	transepithelial transport	2/41	35/18870	0,002618904	0,066502998	0,050570388	4363/1080	2	BP
GO:0010863	positive regulation of phospholipase C activity	2/41	37/18870	0,002923375	0,072323106	0,054996131	2260/5159	2	BP
GO:0006260	DNA replication	4/41	278/18870	0,003041395	0,072323106	0,054996131	675/672/57697/116447	4	BP
GO:0001894	tissue homeostasis	4/41	279/18870	0,003080827	0,072323106	0,054996131	4585/4583/31/4851	4	BP
GO:0060249	anatomical structure homeostasis	4/41	279/18870	0,003080827	0,072323106	0,054996131	4585/4583/31/4851	4	BP
GO:0035909	aorta morphogenesis	2/41	38/18870	0,003081553	0,072323106	0,054996131	5159/4851	2	BP
GO:1900274	regulation of phospholipase C activity	2/41	39/18870	0,003243669	0,074991685	0,057025378	2260/5159	2	BP
GO:0022412	cellular process involved in reproduction in multicellular organism	5/41	471/18870	0,003389325	0,075303502	0,057262491	675/4436/83990/1080/255101	5	BP
GO:0051321	meiotic cell cycle	4/41	287/18870	0,003408983	0,075303502	0,057262491	675/83990/57697/51759	4	BP
GO:0051693	actin filament capping	2/41	40/18870	0,003409707	0,075303502	0,057262491	6712/6708	2	BP
GO:0007548	sex differentiation	4/41	288/18870	0,003451613	0,075303502	0,057262491	675/4436/83990/4851	4	BP
GO:0060251	regulation of glial cell proliferation	2/41	41/18870	0,003579649	0,076559732	0,058217757	1030/4851	2	BP
GO:0007093	mitotic cell cycle checkpoint signaling	3/41	142/18870	0,003608044	0,076559732	0,058217757	4436/11200/672	3	BP
GO:0050673	epithelial cell proliferation	5/41	480/18870	0,003674382	0,076913758	0,058486966	675/1030/2260/498/4851	5	BP
GO:0050850	positive regulation of calcium-mediated signaling	2/41	42/18870	0,003753479	0,077521855	0,058949377	5159/2065	2	BP
GO:0031333	negative regulation of protein-containing complex assembly	3/41	147/18870	0,003975765	0,081032363	0,061618847	6712/6708/51339	3	BP
GO:0030835	negative regulation of actin filament depolymerization	2/41	44/18870	0,004112735	0,082735418	0,062913888	6712/6708	2	BP
GO:0048608	reproductive structure development	4/41	305/18870	0,004233078	0,084064592	0,063924623	675/4436/83990/4851	4	BP
GO:0014014	negative regulation of gliogenesis	2/41	45/18870	0,004298128	0,084275952	0,064085346	1030/4851	2	BP
GO:0061458	reproductive system development	4/41	309/18870	0,004432987	0,08476697	0,064458727	675/4436/83990/4851	4	BP
GO:0043535	regulation of blood vessel endothelial cell migration	3/41	153/18870	0,004446223	0,08476697	0,064458727	2260/498/4851	3	BP
GO:1901976	regulation of cell cycle checkpoint	2/41	46/18870	0,004487341	0,08476697	0,064458727	675/672	2	BP
GO:0098813	nuclear chromosome segregation	4/41	312/18870	0,004587051	0,0850148	0,064647182	11200/83990/9055/51759	4	BP
GO:0046488	phosphatidylinositol metabolic process	3/41	155/18870	0,004610228	0,0850148	0,064647182	284098/5159/283748	3	BP
GO:0048872	homeostasis of number of cells	4/41	316/18870	0,00479805	0,087437414	0,066489393	4583/6708/55808/4851	4	BP
GO:0031670	cellular response to nutrient	2/41	48/18870	0,004877163	0,087845646	0,066799822	83990/1030	2	BP
GO:0097193	intrinsic apoptotic signaling pathway	4/41	319/18870	0,004960537	0,088192028	0,067063218	675/4436/11200/672	4	BP
GO:0010518	positive regulation of phospholipase activity	2/41	49/18870	0,005077739	0,088192028	0,067063218	2260/5159	2	BP
GO:0048546	digestive tract morphogenesis	2/41	49/18870	0,005077739	0,088192028	0,067063218	51339/4851	2	BP
GO:0006261	DNA-templated DNA replication	3/41	161/18870	0,005124133	0,088192028	0,067063218	675/672/57697	3	BP
GO:0060976	coronary vasculature development	2/41	50/18870	0,005282068	0,088323115	0,0671629	5159/4851	2	BP
GO:0060326	cell chemotaxis	4/41	325/18870	0,005296568	0,088323115	0,0671629	4363/2260/5159/4851	4	BP
GO:0051494	negative regulation of cytoskeleton organization	3/41	163/18870	0,005302808	0,088323115	0,0671629	672/6712/6708	3	BP
GO:0010332	response to gamma radiation	2/41	51/18870	0,005490136	0,090470437	0,068795773	675/11200	2	BP
GO:0003197	endocardial cushion development	2/41	52/18870	0,005701926	0,092971398	0,07069756	2065/4851	2	BP
GO:0006778	porphyrin-containing compound metabolic process	2/41	53/18870	0,00591742	0,09449571	0,071856681	4363/6708	2	BP
GO:0030834	regulation of actin filament depolymerization	2/41	53/18870	0,00591742	0,09449571	0,071856681	6712/6708	2	BP
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	3/41	171/18870	0,006054954	0,095705339	0,072776511	2260/5159/2065	3	BP
GO:0000724	double-strand break repair via homologous recombination	3/41	175/18870	0,006453783	0,099969104	0,076018775	675/672/57697	3	BP
GO:0072331	signal transduction by p53 class mediator	3/41	175/18870	0,006453783	0,099969104	0,076018775	675/4436/11200	3	BP
GO:0000725	recombinational repair	3/41	179/18870	0,006867994	0,104668409	0,079592232	675/672/57697	3	BP
GO:0030042	actin filament depolymerization	2/41	58/18870	0,007049902	0,104668409	0,079592232	6712/6708	2	BP
GO:0043534	blood vessel endothelial cell migration	3/41	181/18870	0,007080913	0,104668409	0,079592232	2260/498/4851	3	BP
GO:0071478	cellular response to radiation	3/41	181/18870	0,007080913	0,104668409	0,079592232	675/11200/672	3	BP
GO:1901990	regulation of mitotic cell cycle phase transition	4/41	355/18870	0,007207511	0,104668409	0,079592232	11200/672/1030/51339	4	BP
GO:0010517	regulation of phospholipase activity	2/41	59/18870	0,007287288	0,104668409	0,079592232	2260/5159	2	BP
GO:0014009	glial cell proliferation	2/41	59/18870	0,007287288	0,104668409	0,079592232	1030/4851	2	BP
GO:2000045	regulation of G1/S transition of mitotic cell cycle	3/41	183/18870	0,007297733	0,104668409	0,079592232	11200/1030/51339	3	BP
GO:0007131	reciprocal meiotic recombination	2/41	60/18870	0,007528265	0,105056604	0,079887425	83990/57697	2	BP
GO:0060193	positive regulation of lipase activity	2/41	60/18870	0,007528265	0,105056604	0,079887425	2260/5159	2	BP
GO:0140527	reciprocal homologous recombination	2/41	60/18870	0,007528265	0,105056604	0,079887425	83990/57697	2	BP
GO:0033013	tetrapyrrole metabolic process	2/41	62/18870	0,008020933	0,110932373	0,084355493	4363/6708	2	BP
GO:0035904	aorta development	2/41	65/18870	0,00878648	0,119388223	0,090785513	5159/4851	2	BP
GO:0045143	homologous chromosome segregation	2/41	65/18870	0,00878648	0,119388223	0,090785513	83990/51759	2	BP
GO:0030837	negative regulation of actin filament polymerization	2/41	66/18870	0,009048678	0,121881754	0,092681651	6712/6708	2	BP
GO:0046777	protein autophosphorylation	3/41	199/18870	0,009174699	0,12227067	0,092977391	11200/2260/5159	3	BP
GO:0038034	signal transduction in absence of ligand	2/41	67/18870	0,009314357	0,12227067	0,092977391	2260/2065	2	BP
GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	2/41	67/18870	0,009314357	0,12227067	0,092977391	2260/2065	2	BP
GO:0032835	glomerulus development	2/41	69/18870	0,009856098	0,128294927	0,097558373	5159/4851	2	BP
GO:0007286	spermatid development	3/41	206/18870	0,010076766	0,129629818	0,098573454	83990/1080/255101	3	BP
GO:1901880	negative regulation of protein depolymerization	2/41	70/18870	0,010132129	0,129629818	0,098573454	6712/6708	2	BP
GO:2000241	regulation of reproductive process	3/41	207/18870	0,010209708	0,129629818	0,098573454	51759/64147/4851	3	BP
GO:1901654	response to ketone	3/41	208/18870	0,010343674	0,129851617	0,098742115	1080/31/498	3	BP
GO:0090307	mitotic spindle assembly	2/41	71/18870	0,01041158	0,129851617	0,098742115	11200/9055	2	BP
GO:1902806	regulation of cell cycle G1/S phase transition	3/41	209/18870	0,010478665	0,129851617	0,098742115	11200/1030/51339	3	BP
GO:0030858	positive regulation of epithelial cell differentiation	2/41	72/18870	0,010694434	0,131473639	0,099975537	1030/4851	2	BP
GO:0030330	DNA damage response, signal transduction by p53 class mediator	2/41	73/18870	0,010980677	0,13392968	0,101843167	675/11200	2	BP
GO:0048515	spermatid differentiation	3/41	214/18870	0,011169051	0,135162963	0,102780983	83990/1080/255101	3	BP
GO:0035924	cellular response to vascular endothelial growth factor stimulus	2/41	75/18870	0,011563269	0,137780799	0,104771645	5159/4851	2	BP
GO:0051298	centrosome duplication	2/41	75/18870	0,011563269	0,137780799	0,104771645	675/672	2	BP
GO:0043536	positive regulation of blood vessel endothelial cell migration	2/41	76/18870	0,011859587	0,140232827	0,106636223	2260/498	2	BP
GO:0060191	regulation of lipase activity	2/41	78/18870	0,012462191	0,146241926	0,111205678	2260/5159	2	BP
GO:0043254	regulation of protein-containing complex assembly	4/41	419/18870	0,0126964	0,146795653	0,111626744	6712/6708/64147/51339	4	BP
GO:0032508	DNA duplex unwinding	2/41	79/18870	0,012768447	0,146795653	0,111626744	83990/57697	2	BP
GO:0007018	microtubule-based movement	4/41	420/18870	0,012798608	0,146795653	0,111626744	1780/64837/64147/255101	4	BP
GO:0032272	negative regulation of protein polymerization	2/41	80/18870	0,013077986	0,146795653	0,111626744	6712/6708	2	BP
GO:0043242	negative regulation of protein-containing complex disassembly	2/41	80/18870	0,013077986	0,146795653	0,111626744	6712/6708	2	BP
GO:0048844	artery morphogenesis	2/41	80/18870	0,013077986	0,146795653	0,111626744	5159/4851	2	BP
GO:0097191	extrinsic apoptotic signaling pathway	3/41	229/18870	0,013395939	0,149282805	0,113518031	672/2260/2065	3	BP
GO:0009314	response to radiation	4/41	428/18870	0,013635388	0,150622794	0,11453699	675/4436/11200/672	4	BP
GO:0010594	regulation of endothelial cell migration	3/41	231/18870	0,013710661	0,150622794	0,11453699	2260/498/4851	3	BP
GO:0050920	regulation of chemotaxis	3/41	232/18870	0,013869603	0,150878492	0,114731428	2260/5159/4851	3	BP
GO:0001570	vasculogenesis	2/41	83/18870	0,014026148	0,150878492	0,114731428	5159/4851	2	BP
GO:0050848	regulation of calcium-mediated signaling	2/41	83/18870	0,014026148	0,150878492	0,114731428	5159/2065	2	BP
GO:0006289	nucleotide-excision repair	2/41	85/18870	0,014674395	0,155689302	0,118389677	675/83990	2	BP
GO:0032392	DNA geometric change	2/41	85/18870	0,014674395	0,155689302	0,118389677	83990/57697	2	BP
GO:1901879	regulation of protein depolymerization	2/41	86/18870	0,015003316	0,15809617	0,120219914	6712/6708	2	BP
GO:0051851	modulation by host of symbiont process	2/41	87/18870	0,015335416	0,160503783	0,122050717	4583/55808	2	BP
GO:0043406	positive regulation of MAP kinase activity	2/41	88/18870	0,01567068	0,162911971	0,123881958	2260/5159	2	BP
GO:0048738	cardiac muscle tissue development	3/41	247/18870	0,016380866	0,169159739	0,128632903	5159/2065/4851	3	BP
GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	3/41	248/18870	0,016556797	0,169844227	0,129153403	2260/5159/2065	3	BP
GO:0045132	meiotic chromosome segregation	2/41	91/18870	0,016695311	0,170138396	0,129377096	83990/51759	2	BP
GO:0000082	G1/S transition of mitotic cell cycle	3/41	252/18870	0,017271212	0,17147337	0,13039224	11200/1030/51339	3	BP
GO:0032465	regulation of cytokinesis	2/41	93/18870	0,017393951	0,17147337	0,13039224	675/9055	2	BP
GO:0055006	cardiac cell development	2/41	93/18870	0,017393951	0,17147337	0,13039224	5159/4851	2	BP
GO:0006935	chemotaxis	4/41	468/18870	0,018343176	0,17147337	0,13039224	4363/2260/5159/4851	4	BP
GO:0042330	taxis	4/41	470/18870	0,018602068	0,17147337	0,13039224	4363/2260/5159/4851	4	BP
GO:0044772	mitotic cell cycle phase transition	4/41	470/18870	0,018602068	0,17147337	0,13039224	11200/672/1030/51339	4	BP
GO:0014706	striated muscle tissue development	3/41	264/18870	0,019517398	0,17147337	0,13039224	5159/2065/4851	3	BP
GO:0050773	regulation of dendrite development	2/41	99/18870	0,019563266	0,17147337	0,13039224	7436/23327	2	BP
GO:0008585	female gonad development	2/41	101/18870	0,020310456	0,17147337	0,13039224	675/4851	2	BP
GO:0021510	spinal cord development	2/41	102/18870	0,020688504	0,17147337	0,13039224	7436/4851	2	BP
GO:0070167	regulation of biomineral tissue development	2/41	102/18870	0,020688504	0,17147337	0,13039224	1080/4851	2	BP
GO:0022600	digestive system process	2/41	103/18870	0,021069501	0,17147337	0,13039224	4585/4583	2	BP
GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2/41	104/18870	0,021453434	0,17147337	0,13039224	1030/4851	2	BP
GO:0140014	mitotic nuclear division	3/41	274/18870	0,021507602	0,17147337	0,13039224	11200/9055/5159	3	BP
GO:0007440	foregut morphogenesis	1/41	10/18870	0,021521479	0,17147337	0,13039224	4851	1	BP
GO:0035066	positive regulation of histone acetylation	1/41	10/18870	0,021521479	0,17147337	0,13039224	672	1	BP
GO:0035768	endothelial cell chemotaxis to fibroblast growth factor	1/41	10/18870	0,021521479	0,17147337	0,13039224	2260	1	BP
GO:0060525	prostate glandular acinus development	1/41	10/18870	0,021521479	0,17147337	0,13039224	4851	1	BP
GO:0060768	regulation of epithelial cell proliferation involved in prostate gland development	1/41	10/18870	0,021521479	0,17147337	0,13039224	4851	1	BP
GO:0060947	cardiac vascular smooth muscle cell differentiation	1/41	10/18870	0,021521479	0,17147337	0,13039224	4851	1	BP
GO:0062042	regulation of cardiac epithelial to mesenchymal transition	1/41	10/18870	0,021521479	0,17147337	0,13039224	4851	1	BP
GO:0071372	cellular response to follicle-stimulating hormone stimulus	1/41	10/18870	0,021521479	0,17147337	0,13039224	4851	1	BP
GO:0072203	cell proliferation involved in metanephros development	1/41	10/18870	0,021521479	0,17147337	0,13039224	5159	1	BP
GO:2000048	negative regulation of cell-cell adhesion mediated by cadherin	1/41	10/18870	0,021521479	0,17147337	0,13039224	4851	1	BP
GO:2000544	regulation of endothelial cell chemotaxis to fibroblast growth factor	1/41	10/18870	0,021521479	0,17147337	0,13039224	2260	1	BP
GO:0046545	development of primary female sexual characteristics	2/41	105/18870	0,021840289	0,17147337	0,13039224	675/4851	2	BP
GO:0018108	peptidyl-tyrosine phosphorylation	3/41	276/18870	0,021918588	0,17147337	0,13039224	2260/5159/2065	3	BP
GO:0018212	peptidyl-tyrosine modification	3/41	278/18870	0,022333893	0,17147337	0,13039224	2260/5159/2065	3	BP
GO:0044843	cell cycle G1/S phase transition	3/41	279/18870	0,022543165	0,17147337	0,13039224	11200/1030/51339	3	BP
GO:0045860	positive regulation of protein kinase activity	3/41	282/18870	0,023177464	0,17147337	0,13039224	2260/5159/2065	3	BP
GO:0043542	endothelial cell migration	3/41	284/18870	0,023605731	0,17147337	0,13039224	2260/498/4851	3	BP
GO:0003263	cardioblast proliferation	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0003264	regulation of cardioblast proliferation	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0032966	negative regulation of collagen biosynthetic process	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0035766	cell chemotaxis to fibroblast growth factor	1/41	11/18870	0,023648606	0,17147337	0,13039224	2260	1	BP
GO:0042045	epithelial fluid transport	1/41	11/18870	0,023648606	0,17147337	0,13039224	1080	1	BP
GO:0042167	heme catabolic process	1/41	11/18870	0,023648606	0,17147337	0,13039224	4363	1	BP
GO:0046149	pigment catabolic process	1/41	11/18870	0,023648606	0,17147337	0,13039224	4363	1	BP
GO:0048103	somatic stem cell division	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0048304	positive regulation of isotype switching to IgG isotypes	1/41	11/18870	0,023648606	0,17147337	0,13039224	4436	1	BP
GO:0048505	regulation of timing of cell differentiation	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0051095	regulation of helicase activity	1/41	11/18870	0,023648606	0,17147337	0,13039224	4436	1	BP
GO:0051256	mitotic spindle midzone assembly	1/41	11/18870	0,023648606	0,17147337	0,13039224	9055	1	BP
GO:0060081	membrane hyperpolarization	1/41	11/18870	0,023648606	0,17147337	0,13039224	1080	1	BP
GO:0060742	epithelial cell differentiation involved in prostate gland development	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0060767	epithelial cell proliferation involved in prostate gland development	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0061314	Notch signaling involved in heart development	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:0072584	caveolin-mediated endocytosis	1/41	11/18870	0,023648606	0,17147337	0,13039224	23327	1	BP
GO:0085020	protein K6-linked ubiquitination	1/41	11/18870	0,023648606	0,17147337	0,13039224	672	1	BP
GO:0097400	interleukin-17-mediated signaling pathway	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:1901984	negative regulation of protein acetylation	1/41	11/18870	0,023648606	0,17147337	0,13039224	672	1	BP
GO:1904238	pericyte cell differentiation	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:1904847	regulation of cell chemotaxis to fibroblast growth factor	1/41	11/18870	0,023648606	0,17147337	0,13039224	2260	1	BP
GO:1905651	regulation of artery morphogenesis	1/41	11/18870	0,023648606	0,17147337	0,13039224	4851	1	BP
GO:1990918	double-strand break repair involved in meiotic recombination	1/41	11/18870	0,023648606	0,17147337	0,13039224	83990	1	BP
GO:2000672	negative regulation of motor neuron apoptotic process	1/41	11/18870	0,023648606	0,17147337	0,13039224	2065	1	BP
GO:0014013	regulation of gliogenesis	2/41	110/18870	0,023817908	0,17147337	0,13039224	1030/4851	2	BP
GO:0031398	positive regulation of protein ubiquitination	2/41	110/18870	0,023817908	0,17147337	0,13039224	672/57697	2	BP
GO:0090398	cellular senescence	2/41	110/18870	0,023817908	0,17147337	0,13039224	675/1030	2	BP
GO:0071900	regulation of protein serine/threonine kinase activity	3/41	285/18870	0,023821486	0,17147337	0,13039224	1030/2260/5159	3	BP
GO:0060840	artery development	2/41	111/18870	0,024222004	0,17147337	0,13039224	5159/4851	2	BP
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	3/41	290/18870	0,024916466	0,17147337	0,13039224	2260/5159/2065	3	BP
GO:0000022	mitotic spindle elongation	1/41	12/18870	0,025771222	0,17147337	0,13039224	9055	1	BP
GO:0002328	pro-B cell differentiation	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0003157	endocardium development	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0003183	mitral valve morphogenesis	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0003207	cardiac chamber formation	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0010713	negative regulation of collagen metabolic process	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0010826	negative regulation of centrosome duplication	1/41	12/18870	0,025771222	0,17147337	0,13039224	672	1	BP
GO:0016446	somatic hypermutation of immunoglobulin genes	1/41	12/18870	0,025771222	0,17147337	0,13039224	4436	1	BP
GO:0040034	regulation of development, heterochronic	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0046606	negative regulation of centrosome cycle	1/41	12/18870	0,025771222	0,17147337	0,13039224	672	1	BP
GO:0060379	cardiac muscle cell myoblast differentiation	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0070170	regulation of tooth mineralization	1/41	12/18870	0,025771222	0,17147337	0,13039224	1080	1	BP
GO:0072017	distal tubule development	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:0072110	glomerular mesangial cell proliferation	1/41	12/18870	0,025771222	0,17147337	0,13039224	5159	1	BP
GO:0097084	vascular associated smooth muscle cell development	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:1902337	regulation of apoptotic process involved in morphogenesis	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:1905456	regulation of lymphoid progenitor cell differentiation	1/41	12/18870	0,025771222	0,17147337	0,13039224	4851	1	BP
GO:2000009	negative regulation of protein localization to cell surface	1/41	12/18870	0,025771222	0,17147337	0,13039224	23327	1	BP
GO:0051261	protein depolymerization	2/41	115/18870	0,025866514	0,17147337	0,13039224	6712/6708	2	BP
