ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05219	Bladder cancer	7/311	41/9397	0.00034686210768654	0.00930746655625549	0.00748491916586744	4313/4312/999/1950/5894/7157/673	7
hsa04146	Peroxisome	10/311	83/9397	0.000389656677113103	0.0096514961561861	0.00776158239431769	3295/5824/5830/196743/1384/51/8540/6648/5189/5190	10
hsa05215	Prostate cancer	11/311	106/9397	0.0007379221172088	0.0169722086958024	0.013648785025065	2260/5159/1950/5728/2033/5894/7157/3479/3480/673/3630	11
hsa05222	Small cell lung cancer	10/311	93/9397	0.00096742450173081	0.0207673793038214	0.0167008019246161	1030/3914/3910/3908/3913/5728/7157/331/3673/1285	10
hsa01521	EGFR tyrosine kinase inhibitor resistance	9/311	80/9397	0.00124751114180438	0.0251061617288131	0.0201899829528867	5159/2065/1950/5728/5894/6774/3479/3480/673	9
hsa05321	Inflammatory bowel disease	8/311	66/9397	0.00142135105268548	0.0269220611155721	0.0216503008644352	64127/3123/6772/3127/6774/3566/7097/2625	8
hsa05230	Central carbon metabolism in cancer	8/311	71/9397	0.00228306051762393	0.0397510711153135	0.0319671902398403	2260/5159/5728/5894/5979/7157/6514/2539	8
hsa04217	Necroptosis	13/311	159/9397	0.00234556009686633	0.0397510711153135	0.0319671902398403	283748/8717/834/91782/114548/7297/6772/7128/54822/6774/331/10059/3455	13
hsa04981	Folate transport and metabolism	5/311	31/9397	0.00321832192275923	0.0471485820422653	0.0379161529336295	4363/6470/4524/4548/10599	5
hsa04730	Long-term depression	7/311	60/9397	0.00348683241064845	0.0471485820422653	0.0379161529336295	3710/283748/5894/3708/3479/3480/673	7
hsa05214	Glioma	8/311	76/9397	0.00350980685182661	0.0471485820422653	0.0379161529336295	5159/1950/5728/5894/7157/3479/3480/673	8
hsa04520	Adherens junction	9/311	93/9397	0.00356009562899599	0.0471485820422653	0.0379161529336295	2260/54922/999/2033/7046/7414/3480/3643/10458	9
hsa05224	Breast cancer	12/311	148/9397	0.00365205922880488	0.0471485820422653	0.0379161529336295	675/672/2260/4851/1950/5728/5894/7157/3479/3480/8322/673	12
hsa04630	JAK-STAT signaling pathway	13/311	168/9397	0.00378625727241225	0.0471485820422653	0.0379161529336295	5159/3952/53832/7297/6772/1950/4352/2033/5894/6774/3566/3977/3455	13
hsa05212	Pancreatic cancer	8/311	77/9397	0.00380702836366117	0.0471485820422653	0.0379161529336295	675/6772/1950/5894/6774/7157/7046/673	8
hsa04621	NOD-like receptor signaling pathway	14/311	189/9397	0.00401206571475383	0.0478475985241012	0.0384782910654753	3710/64127/84674/834/114548/7297/6772/7128/54822/3708/331/2633/10059/3455	14
hsa05164	Influenza A	13/311	173/9397	0.00485468551834871	0.0558288834610101	0.0448967156960069	8717/3123/23430/834/114548/7297/7177/10241/6772/3127/2033/5894/3455	13
hsa00515	Mannose type O-glycan biosynthesis	4/311	23/9397	0.0063335501145355	0.0703242460993252	0.0565536598248905	9486/729920/2218/2683	4
hsa05146	Amoebiasis	9/311	103/9397	0.00697596796472842	0.0717335261353926	0.0576869808084556	4583/3914/3910/3908/3913/7414/7097/1285/1277	9
hsa05216	Thyroid cancer	5/311	37/9397	0.00702541778461204	0.0717335261353926	0.0576869808084556	999/5979/7157/7170/673	5
hsa04152	AMPK signaling pathway	10/311	122/9397	0.007128797628362	0.0717335261353926	0.0576869808084556	1080/31/3952/5105/3479/3480/3643/3172/51422/3630	10
hsa03460	Fanconi anemia pathway	6/311	55/9397	0.00928717287562596	0.090620292907623	0.0728754235216582	675/83990/672/57697/84464/641	6
hsa04010	MAPK signaling pathway	18/311	300/9397	0.0107423486746257	0.098931836917465	0.0795594373380071	2260/5159/283748/2065/8717/5606/1950/2264/5894/5979/7157/7046/3479/3480/3643/4208/673/3630	18
hsa04015	Rap1 signaling pathway	14/311	212/9397	0.0107534605345071	0.098931836917465	0.0795594373380071	2260/5159/7410/5606/999/1950/2264/5894/3479/2903/3480/3643/673/3630	14
hsa04918	Thyroid hormone synthesis	7/311	75/9397	0.0117836000527825	0.105397756027666	0.0847592284498391	3710/5172/6528/50506/7038/3708/4036	7
hsa05213	Endometrial cancer	6/311	59/9397	0.0129377510532443	0.112593401057964	0.0905458537439007	999/1950/5728/5894/7157/673	6
hsa04814	Motor proteins	13/311	197/9397	0.013789925286473	0.112701398606228	0.0906327036846424	1780/64837/64147/4647/201625/57519/51168/1767/23095/83544/7170/8701/53904	13
hsa04928	Parathyroid hormone synthesis, secretion and action	9/311	115/9397	0.0138824254994826	0.112701398606228	0.0906327036846424	3710/2260/7421/5894/5144/3708/4208/2625/673	9
hsa04081	Hormone signaling	14/311	219/9397	0.0140001737399041	0.112701398606228	0.0906327036846424	3952/7433/57817/4352/658/4093/6774/4158/150/3479/3480/3643/1816/3630	14
hsa04218	Cellular senescence	11/311	157/9397	0.015068848582948	0.118345591309982	0.0951716752607239	11200/1030/3710/5606/5728/5894/54822/3708/7157/7046/2626	11
hsa04213	Longevity regulating pathway - multiple species	6/311	62/9397	0.0162636503343038	0.124565163704351	0.100173358193104	3479/3480/6648/3643/51422/3630	6
hsa05410	Hypertrophic cardiomyopathy	8/311	99/9397	0.0166344783828792	0.124565163704351	0.100173358193104	859/7273/3908/6262/3479/3673/7170/51422	8
hsa00450	Selenocompound metabolism	3/311	17/9397	0.0172985694106171	0.126594076141334	0.101804977871096	4141/9060/4548	3
hsa05415	Diabetic cardiomyopathy	13/311	205/9397	0.0186212719756988	0.131304789324785	0.105593259803521	498/4313/5164/653361/6262/5728/7046/3643/4719/27089/3630/2539/1277	13
hsa04930	Type II diabetes mellitus	5/311	47/9397	0.0189267678785817	0.131304789324785	0.105593259803521	6833/3643/6514/3630/3767	5
hsa05161	Hepatitis B	11/311	163/9397	0.0194079727163505	0.131304789324785	0.105593259803521	3339/7297/5606/6772/2033/5894/6774/7157/7046/7097/673	11
hsa04929	GnRH secretion	6/311	65/9397	0.0201376407846536	0.131304789324785	0.105593259803521	3710/3765/5894/3708/3762/3767	6
hsa04980	Cobalamin transport and metabolism	3/311	18/9397	0.0202597055665644	0.131304789324785	0.105593259803521	25974/4548/326625	3
hsa00640	Propanoate metabolism	4/311	32/9397	0.0203889424417368	0.131304789324785	0.105593259803521	31/5096/51/1629	4
hsa04974	Protein digestion and absorption	8/311	105/9397	0.0228931035729656	0.140206129947117	0.11275157883946	1303/1359/1301/1302/6519/1285/10008/1277	8
hsa04720	Long-term potentiation	6/311	67/9397	0.02304266946023	0.140206129947117	0.11275157883946	3710/2033/5894/3708/2903/673	6
hsa04911	Insulin secretion	7/311	86/9397	0.0235128292457899	0.140206129947117	0.11275157883946	3710/157855/6262/6833/6514/3630/3767	7
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	7/311	86/9397	0.0235128292457899	0.140206129947117	0.11275157883946	1000/89/859/3908/6262/3673/1832	7
hsa04659	Th17 cell differentiation	8/311	109/9397	0.0278897987000862	0.151642627051853	0.121948631104138	3123/7297/6772/3127/6774/7046/3566/2625	8
hsa04920	Adipocytokine signaling pathway	6/311	70/9397	0.0279078155443871	0.151642627051853	0.121948631104138	3952/8717/6774/7133/5105/51422	6
hsa05211	Renal cell carcinoma	6/311	70/9397	0.0279078155443871	0.151642627051853	0.121948631104138	2271/2033/5894/673/201163/7428	6
hsa04913	Ovarian steroidogenesis	5/311	52/9397	0.0280848676176997	0.151642627051853	0.121948631104138	283748/3479/3480/3643/3630	5
hsa04066	HIF-1 signaling pathway	8/311	110/9397	0.0292482877533861	0.151642627051853	0.121948631104138	1950/2033/6774/3479/3480/3643/7428/3630	8
hsa04350	TGF-beta signaling pathway	8/311	110/9397	0.0292482877533861	0.151642627051853	0.121948631104138	1030/57817/658/2033/4093/7046/93/652	8
hsa04211	Longevity regulating pathway	7/311	90/9397	0.0292769231381064	0.151642627051853	0.121948631104138	7157/3479/3480/6648/3643/51422/3630	7
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	7/311	90/9397	0.0292769231381064	0.151642627051853	0.121948631104138	5606/6772/1950/5728/5894/6774/7097	7
hsa04917	Prolactin signaling pathway	6/311	71/9397	0.0296692096405799	0.151642627051853	0.121948631104138	6772/2592/5894/6774/6514/3630	6
hsa04921	Oxytocin signaling pathway	10/311	155/9397	0.0329681697499994	0.165494603130177	0.133088173815049	3710/283748/100134444/3765/6262/5894/3708/4208/51422/3762	10
hsa05223	Non-small cell lung cancer	6/311	73/9397	0.033407295662924	0.165494603130177	0.133088173815049	1950/5894/5979/6774/7157/673	6
hsa04658	Th1 and Th2 cell differentiation	7/311	93/9397	0.0341793431610058	0.166753765118846	0.134100772210645	4851/3123/7297/6772/3127/3566/2625	7
hsa04960	Aldosterone-regulated sodium reabsorption	4/311	38/9397	0.0359006210118764	0.172537312922749	0.138751810980701	23327/3479/3643/3630	4
hsa04150	mTOR signaling pathway	10/311	158/9397	0.0368806902736507	0.174640915707581	0.14044349546932	57600/5728/5894/3479/3480/3643/8322/673/201163/3630	10
hsa00670	One carbon pool by folate	4/311	39/9397	0.0389984025009527	0.180528613946249	0.145178290391557	6470/4524/4548/501	4
hsa05152	Tuberculosis	11/311	182/9397	0.0392453508578803	0.180528613946249	0.145178290391557	8717/64127/3123/7421/6772/3127/2033/5894/7097/7096/3313	11
hsa04810	Regulation of actin cytoskeleton	13/311	232/9397	0.0444951655704358	0.201307864820829	0.161888639247871	2260/5159/1729/7410/85464/1950/2264/5894/7414/3673/673/3630/10458	13
hsa01522	Endocrine resistance	7/311	99/9397	0.045553349212376	0.201307864820829	0.161888639247871	4851/4313/5894/7157/3479/3480/673	7
hsa03440	Homologous recombination	4/311	41/9397	0.0456381184221133	0.201307864820829	0.161888639247871	675/83990/672/641	4
hsa04935	Growth hormone synthesis, secretion and action	8/311	122/9397	0.04921466268026	0.211102969617426	0.169765709466776	3710/5606/6772/2033/5894/3708/6774/3479	8
hsa05017	Spinocerebellar ataxia	9/311	144/9397	0.0494605884717524	0.211102969617426	0.169765709466776	3710/7436/6712/56652/4287/3708/2903/6908/5649	9
hsa04933	AGE-RAGE signaling pathway in diabetic complications	7/311	101/9397	0.0498255456239887	0.211102969617426	0.169765709466776	4313/1729/6772/6774/7046/1285/1277	7
hsa04014	Ras signaling pathway	13/311	238/9397	0.0526075027100924	0.219737524866248	0.176709483874132	2260/5159/283748/50487/100271927/1950/2264/5894/3479/2903/3480/3643/3630	13
hsa00592	alpha-Linolenic acid metabolism	3/311	26/9397	0.0532283445328177	0.219737524866248	0.176709483874132	283748/50487/51	3
hsa05417	Lipid and atherosclerosis	12/311	216/9397	0.0550468229652372	0.224368063225397	0.180433290465668	7436/4312/834/653361/114548/7410/5606/3708/6774/7157/6648/7097	12
hsa05414	Dilated cardiomyopathy	7/311	105/9397	0.0591103682575709	0.237919232236723	0.191330928833716	859/7273/3908/6262/3479/3673/7170	7
hsa05226	Gastric cancer	9/311	150/9397	0.0610026275296636	0.242504272401872	0.195018146488593	1030/4583/999/1950/5894/7157/7046/8322/673	9
