EpiGraphDB-expID	EpiGraphDB-outID	EpiGraphDB-outID_mrbase	EpiGraphDB-nsnp	EpiGraphDB-method	EpiGraphDB-beta	EpiGraphDB-se	EpiGraphDB-pvalue	EpiGraphDB-rsID
CCL27	HbA1C	758	1	Wald ratio	-0.025856698	0.018691589	0.166562682	rs2070074
CCL27	Eye problems or disorders: Injury or trauma resulting in loss of vision	UKB-a:425	1	Wald ratio	-0.351194227	0.256267613	0.170555876	rs2070074
CCL27	Eye problems or disorders: Diabetes related eye disease	UKB-a:423	1	Wald ratio	-0.331513077	0.244992558	0.176005893	rs2070074
CCL27	Non-cancer illness code self-reported: pulmonary embolism (with or without) dvt	UKB-a:64	1	Wald ratio	-0.254331986	0.19067747	0.18225845	rs2070074
CCL27	ER-positive Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	1127	1	Wald ratio	-0.052959502	0.039875389	0.184136816	rs2070074
CCL27	Non-cancer illness code  self-reported: high cholesterol	UKB-a:108	1	Wald ratio	0.043241958	0.033084295	0.19120467	rs2070074
CCL27	Height	89	1	Wald ratio	0.020249221	0.015576324	0.193600969	rs2070074
CCL27	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	UKB-a:563	1	Wald ratio	0.107313553	0.083205655	0.197141397	rs2070074
CCL27	Schizophrenia	22	1	Wald ratio	-0.074752665	0.058255452	0.199426407	rs2070074
CCL27	Red blood cell count	275	1	Wald ratio	-0.01588785	0.012461059	0.202309242	rs2070074
CCL27	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	1126	1	Wald ratio	-0.041744548	0.033333333	0.210447293	rs2070074
CCL27	Paget's disease	975	1	Wald ratio	0.387510903	0.311187227	0.213033954	rs2070074
CCL27	Systolic blood pressure  automated reading	UKB-a:360	1	Wald ratio	0.016118193	0.013067477	0.217404665	rs2070074
CCL27	Squamous cell lung cancer	967	1	Wald ratio	-0.184310874	0.150476636	0.220632826	rs2070074
CCL27	Cancer code  self-reported: malignant melanoma	UKB-a:58	1	Wald ratio	-0.233444338	0.191075476	0.22180639	rs2070074
CCL27	Non-cancer illness code  self-reported: muscle or soft tissue injuries	UKB-a:96	1	Wald ratio	-0.226550148	0.198227219	0.253087948	rs2070074
CCL27	Mean cell haemoglobin	271	1	Wald ratio	0.066043614	0.057943925	0.254375907	rs2070074
CCL27	Weight	UKB-a:249	1	Wald ratio	0.012833364	0.011262586	0.254507693	rs2070074
CCL27	Glioma	1013	1	Wald ratio	0.267608813	0.235866235	0.25655187	rs2070074
CCL27	HDL cholesterol	299	1	Wald ratio	-0.02834891	0.025233645	0.261243542	rs2070074
CCL27	ER-negative Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	1128	1	Wald ratio	-0.067912773	0.060747664	0.263588896	rs2070074
CCL27	Diagnoses - main ICD10: R35 Polyuria	UKB-a:586	1	Wald ratio	-0.375484708	0.339692735	0.269001147	rs2070074
CCL27	Intracranial volume	1041	1	Wald ratio	11627.78816	10609.76528	0.2731	rs2070074
CCL27	Diagnoses - main ICD10: R04 Haemorrhage from respiratory passages	UKB-a:580	1	Wald ratio	-0.262298285	0.248119242	0.290444923	rs2070074
CCL27	Non-cancer illness code  self-reported: hyperthyroidism or thyrotoxicosis	UKB-a:76	1	Wald ratio	0.138540359	0.131793753	0.293171044	rs2070074
CCL27	Age at menarche	1095	1	Wald ratio	0.031152648	0.03005755	0.3	rs2070074
CCL27	IgA nephropathy	1081	1	Wald ratio	-0.446735202	0.436092835	0.305644539	rs2070074
CCL27	Diagnoses - main ICD10: R11 Nausea and vomiting	UKB-a:583	1	Wald ratio	-0.318971528	0.313329726	0.308675125	rs2070074
CCL27	Cancer code  self-reported: prostate cancer	UKB-a:57	1	Wald ratio	-0.18216202	0.186917863	0.329780298	rs2070074
CCL27	Nucleus accumbens volume	1042	1	Wald ratio	5.99470405	6.151713396	0.329819686	rs2070074
CCL27	Diagnoses - main ICD10: N92 Excessive  frequent and irregular menstruation	UKB-a:578	1	Wald ratio	-0.09645764	0.099012753	0.329960174	rs2070074
CCL27	Urate	1055	1	Wald ratio	0.027102804	0.028660436	0.344326024	rs2070074
CCL27	Thyroid cancer	1082	1	Wald ratio	0.397172961	0.425545171	0.350650961	rs2070074
CCL27	Mean cell volume	273	1	Wald ratio	-0.134579439	0.147352025	0.361074667	rs2070074
CCL27	Happiness	UKB-a:367	1	Wald ratio	-0.014490125	0.015922648	0.362805454	rs2070074
CCL27	Non-cancer illness code  self-reported: vaginal prolapse or uterine prolapse	UKB-a:92	1	Wald ratio	-0.201167953	0.22478844	0.370829185	rs2070074
CCL27	Mean platelet volume	1006	1	Wald ratio	-0.00529595	0.005919003	0.370927779	rs2070074
CCL27	Neo-conscientiousness	114	1	Wald ratio	-0.355140187	0.4	0.374621192	rs2070074
CCL27	Diagnoses - main ICD10: M72 Fibroblastic disorders	UKB-a:572	1	Wald ratio	0.134584564	0.156295268	0.389187519	rs2070074
CCL27	Amyotrophic lateral sclerosis	1086	1	Wald ratio	0.080373832	0.09376947	0.391365938	rs2070074
CCL27	Transferrin Saturation	1051	1	Wald ratio	0.046105919	0.054205607	0.395005641	rs2070074
CCL27	Total cholesterol	301	1	Wald ratio	-0.022429907	0.026791277	0.40247493	rs2070074
CCL27	Birth length	29	1	Wald ratio	-0.042990654	0.051401869	0.402950363	rs2070074
CCL27	Neuroticism	1007	1	Wald ratio	-0.015576324	0.018691589	0.404656762	rs2070074
CCL27	Diagnoses - main ICD10: R07 Pain in throat and chest	UKB-a:581	1	Wald ratio	0.045362703	0.054565156	0.405776337	rs2070074
CCL27	Diagnoses - main ICD10: M23 Internal derangement of knee	UKB-a:566	1	Wald ratio	0.067039437	0.080860179	0.407059981	rs2070074
CCL27	Hearing difficulty or problems: Yes	UKB-a:257	1	Wald ratio	0.017915467	0.021636451	0.407657805	rs2070074
CCL27	Fasting insulin	775	1	Wald ratio	-0.013395639	0.016510903	0.417181494	rs2070074
CCL27	Diagnoses - main ICD10: I48 Atrial fibrillation and flutter	UKB-a:536	1	Wald ratio	0.088460087	0.112259628	0.430699311	rs2070074
CCL27	Transferrin	1052	1	Wald ratio	-0.043613707	0.05576324	0.434142347	rs2070074
CCL27	Diagnoses - main ICD10: N20 Calculus of kidney and ureter	UKB-a:574	1	Wald ratio	0.108385825	0.139547698	0.437339477	rs2070074
CCL27	Non-cancer illness code  self-reported: joint disorder	UKB-a:86	1	Wald ratio	0.130119879	0.169368136	0.442328822	rs2070074
CCL27	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	UKB-a:519	1	Wald ratio	0.070741832	0.093896603	0.451208742	rs2070074
CCL27	Heel bone mineral density (BMD) T-score  automated	UKB-a:500	1	Wald ratio	-0.012341589	0.016507944	0.454692331	rs2070074
CCL27	Iron	1049	1	Wald ratio	0.039252336	0.054205607	0.46898106	rs2070074
CCL27	Diagnoses - main ICD10: J33 Nasal polyp	UKB-a:541	1	Wald ratio	-0.169684172	0.23459144	0.469484641	rs2070074
CCL27	Fracture resulting from simple fall	UKB-a:332	1	Wald ratio	0.023346991	0.032600083	0.473890373	rs2070074
CCL27	Non-cancer illness code  self-reported: kidney stone or ureter stone or bladder stone	UKB-a:72	1	Wald ratio	0.093337038	0.134179519	0.486671131	rs2070074
CCL27	Cancer code  self-reported: basal cell carcinoma	UKB-a:59	1	Wald ratio	-0.102687487	0.151786984	0.498708227	rs2070074
CCL27	Diagnoses - main ICD10: I83 Varicose veins of lower extremities	UKB-a:538	1	Wald ratio	-0.061673971	0.095790332	0.519677003	rs2070074
CCL27	Eye problems or disorders: Cataract	UKB-a:426	1	Wald ratio	-0.046848325	0.073713135	0.525070277	rs2070074
CCL27	Fractured bone site(s): Arm	UKB-a:440	1	Wald ratio	-0.091173054	0.144301782	0.527503136	rs2070074
CCL27	Non-cancer illness code  self-reported: depression	UKB-a:81	1	Wald ratio	-0.033967043	0.05458566	0.533764055	rs2070074
CCL27	High grade serous ovarian cancer	1121	1	Wald ratio	0.05271028	0.084984424	0.535103342	rs2070074
CCL27	Neo-extraversion	115	1	Wald ratio	-0.251090343	0.414018692	0.544202013	rs2070074
CCL27	Cigarettes smoked per day	961	1	Wald ratio	0.258255452	0.429595016	0.54773325	rs2070074
CCL27	Non-cancer illness code  self-reported: deep venous thrombosis (dvt)	UKB-a:65	1	Wald ratio	-0.055358552	0.096668168	0.566871013	rs2070074
CCL27	Thalamus volume	1048	1	Wald ratio	-19.47538941	34.88753894	0.576685018	rs2070074
CCL27	Amygdala volume	1043	1	Wald ratio	7.219626168	13.06510903	0.580545367	rs2070074
CCL27	Primary sclerosing cholangitis 	1112	1	Wald ratio	-0.086028558	0.15576324	0.580740542	rs2070074
CCL27	Diagnoses - main ICD10: N40 Hyperplasia of prostate	UKB-a:576	1	Wald ratio	0.069464537	0.126302378	0.582328987	rs2070074
CCL27	Diagnoses - main ICD10: D12 Benign neoplasm of colon  rectum  anus and anal canal	UKB-a:521	1	Wald ratio	-0.063713554	0.116726572	0.58517874	rs2070074
CCL27	Neuroblastoma	816	1	Wald ratio	-0.123603792	0.227812204	0.587426733	rs2070074
CCL27	Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip]	UKB-a:562	1	Wald ratio	-0.060947153	0.114710452	0.59520191	rs2070074
CCL27	Diagnoses - main ICD10: C61 Malignant neoplasm of prostate	UKB-a:520	1	Wald ratio	-0.094836204	0.178954617	0.596149681	rs2070074
CCL27	Haemoglobin concentration	270	1	Wald ratio	0.017133956	0.032398754	0.596912178	rs2070074
CCL27	Non-cancer illness code  self-reported: emphysema or chronic bronchitis	UKB-a:68	1	Wald ratio	0.055897591	0.105788745	0.597229491	rs2070074
CCL27	Alzheimer's disease	297	1	Wald ratio	0.041433022	0.082242991	0.614410446	rs2070074
CCL27	Diagnoses - main ICD10: K60 Fissure and fistula of anal and rectal regions	UKB-a:556	1	Wald ratio	0.084924078	0.180424222	0.637861331	rs2070074
CCL27	Non-cancer illness code  self-reported: hiatus hernia	UKB-a:109	1	Wald ratio	0.03806292	0.081249551	0.639449021	rs2070074
CCL27	Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	UKB-a:537	1	Wald ratio	0.082986839	0.178671512	0.642313927	rs2070074
CCL27	Diagnoses - main ICD10: K44 Diaphragmatic hernia	UKB-a:551	1	Wald ratio	-0.049541132	0.108923777	0.649235967	rs2070074
CCL27	Diagnoses - main ICD10: G47 Sleep disorders	UKB-a:527	1	Wald ratio	-0.08509238	0.189217901	0.652922619	rs2070074
CCL27	HOMA-IR	771	1	Wald ratio	-0.009345794	0.021183801	0.659085246	rs2070074
CCL27	Non-cancer illness code  self-reported: bone disorder	UKB-a:84	1	Wald ratio	0.115538865	0.263225222	0.660708353	rs2070074
CCL27	Eczema	996	1	Wald ratio	0.038703606	0.089174139	0.664271914	rs2070074
CCL27	Hip osteoarthritis	1169	1	Wald ratio	0.062936783	0.153772377	0.682330257	rs2070074
CCL27	Internalizing problems	1029	1	Wald ratio	0.045794393	0.114330218	0.688755176	rs2070074
CCL27	Non-cancer illness code  self-reported: ankylosing spondylitis	UKB-a:88	1	Wald ratio	-0.11944976	0.302780651	0.693205118	rs2070074
CCL27	Diagnoses - main ICD10: K29 Gastritis and duodenitis	UKB-a:547	1	Wald ratio	-0.033575385	0.08614167	0.696707094	rs2070074
CCL27	Rheumatoid arthritis	833	1	Wald ratio	-0.031309457	0.080342136	0.696757228	rs2070074
CCL27	Fractured bone site(s): Ankle	UKB-a:438	1	Wald ratio	0.040966557	0.105967607	0.699055992	rs2070074
CCL27	Pulse rate	UKB-a:363	1	Wald ratio	-0.008578037	0.022679408	0.705259582	rs2070074
CCL27	Non-cancer illness code  self-reported: gastro-oesophageal reflux (gord)  or  gastric reflux	UKB-a:70	1	Wald ratio	0.022506145	0.060328835	0.709105395	rs2070074
CCL27	Non-cancer illness code  self-reported: bladder problem (not cancer)	UKB-a:73	1	Wald ratio	-0.069828041	0.187238958	0.709196505	rs2070074
CCL27	Non-cancer illness code  self-reported: iron deficiency anaemia	UKB-a:89	1	Wald ratio	-0.073247312	0.197233904	0.710359864	rs2070074
CCL27	Diagnoses - main ICD10: M54 Dorsalgia	UKB-a:569	1	Wald ratio	0.033410149	0.096886041	0.730214923	rs2070074
CCL27	Diagnoses - main ICD10: Z09 Follow-up examination after treatment for conditions other than malignant neoplasms	UKB-a:594	1	Wald ratio	-0.036838441	0.109262531	0.735999838	rs2070074
CCL27	Subjective well being	1009	1	Wald ratio	-0.00623053	0.018691589	0.73888268	rs2070074
CCL27	Years of schooling	837	1	Wald ratio	0.00623053	0.018691589	0.73888268	rs2070074
CCL27	Endometrioid ovarian cancer	1125	1	Wald ratio	0.049470405	0.155202492	0.749917999	rs2070074
CCL27	Fractured bone site(s): Wrist	UKB-a:439	1	Wald ratio	-0.029776153	0.094832886	0.753532034	rs2070074
CCL27	Diagnoses - main ICD10: R55 Syncope and collapse	UKB-a:587	1	Wald ratio	-0.043012615	0.14491675	0.766612234	rs2070074
CCL27	Diagnoses - main ICD10: B37 Candidiasis	UKB-a:517	1	Wald ratio	0.243024139	0.858682984	0.777161791	rs2070074
CCL27	Bipolar disorder	801	1	Wald ratio	0.032539744	0.122741433	0.790926213	rs2070074
CCL27	Coronary heart disease	7	1	Wald ratio	0.01158567	0.046828349	0.804593117	rs2070074
CCL27	2hr glucose	756	1	Wald ratio	-0.024299065	0.099688474	0.807424447	rs2070074
CCL27	Non-cancer illness code  self-reported: mania or bipolar disorder or manic depression	UKB-a:83	1	Wald ratio	-0.070658941	0.297842802	0.812473955	rs2070074
CCL27	Diagnoses - main ICD10: I84 Haemorrhoids	UKB-a:539	1	Wald ratio	0.017940461	0.081172995	0.825080641	rs2070074
CCL27	Ovarian cancer	1120	1	Wald ratio	0.01476324	0.071370717	0.836124739	rs2070074
CCL27	Neo-openness to experience	117	1	Wald ratio	0.07788162	0.378193146	0.83684496	rs2070074
CCL27	Caudate volume	1044	1	Wald ratio	5.65576324	27.46760125	0.836863789	rs2070074
CCL27	Cancer code  self-reported: small intestine or small bowel cancer	UKB-a:56	1	Wald ratio	0.204136316	0.998506202	0.838008338	rs2070074
CCL27	Diagnoses - main ICD10: K43 Ventral hernia	UKB-a:550	1	Wald ratio	0.038369868	0.192687674	0.842161171	rs2070074
CCL27	Diagnoses - main ICD10: K57 Diverticular disease of intestine	UKB-a:555	1	Wald ratio	0.017184237	0.089065427	0.847006367	rs2070074
CCL27	Invasive mucinous ovarian cancer	1123	1	Wald ratio	-0.039345794	0.212087227	0.852823517	rs2070074
CCL27	Neo-neuroticism	116	1	Wald ratio	-0.095015576	0.514018692	0.853347878	rs2070074
CCL27	Neo-agreeableness	113	1	Wald ratio	0.060124611	0.329906542	0.855388573	rs2070074
CCL27	Diagnoses - main ICD10: K40 Inguinal hernia	UKB-a:549	1	Wald ratio	-0.014375925	0.079712351	0.856879747	rs2070074
CCL27	Diagnoses - main ICD10: K20 Oesophagitis	UKB-a:544	1	Wald ratio	0.022675986	0.128492593	0.859919222	rs2070074
CCL27	Potassium in urine	UKB-a:334	1	Wald ratio	0.002282511	0.012939034	0.859975743	rs2070074
CCL27	Non-cancer illness code  self-reported: osteoporosis	UKB-a:87	1	Wald ratio	0.016854571	0.101935245	0.868671765	rs2070074
CCL27	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	UKB-a:528	1	Wald ratio	0.015774994	0.096575213	0.870247489	rs2070074
CCL27	Myocardial infarction	798	1	Wald ratio	-0.008262087	0.051713721	0.873065518	rs2070074
CCL27	Fasting proinsulin	769	1	Wald ratio	0.00529595	0.037383178	0.887343305	rs2070074
CCL27	Non-cancer illness code  self-reported: arthritis (nos)	UKB-a:113	1	Wald ratio	0.020847572	0.147693975	0.887748409	rs2070074
CCL27	Parkinson's disease	812	1	Wald ratio	-0.029736489	0.222276783	0.893575473	rs2070074
CCL27	Diagnoses - main ICD10: R14 Flatulence and related conditions	UKB-a:584	1	Wald ratio	0.109091275	0.849338125	0.897798648	rs2070074
CCL27	Diagnoses - main ICD10: L03 Cellulitis	UKB-a:560	1	Wald ratio	0.017534214	0.14306087	0.902451801	rs2070074
CCL27	Ischemic stroke	1108	1	Wald ratio	-0.009968847	0.085981308	0.907698486	rs2070074
CCL27	Cardioembolic stroke	1109	1	Wald ratio	-0.018380062	0.172274143	0.915034299	rs2070074
CCL27	Eye problems or disorders: Glaucoma	UKB-a:424	1	Wald ratio	0.01138387	0.106962886	0.915242603	rs2070074
CCL27	Platelet count	1008	1	Wald ratio	-0.239875389	2.292834891	0.916677689	rs2070074
CCL27	Putamen volume	1047	1	Wald ratio	-3.414330218	33.61557632	0.919098084	rs2070074
CCL27	Percent emphysema	1005	1	Wald ratio	0.00623053	0.062928349	0.921130409	rs2070074
CCL27	Ferritin	1050	1	Wald ratio	-0.004672897	0.050778816	0.926678542	rs2070074
CCL27	Non-cancer illness code  self-reported: polio  or  poliomyelitis	UKB-a:112	1	Wald ratio	0.064621572	0.736167123	0.930050647	rs2070074
CCL27	Non-cancer illness code  self-reported: osteoarthritis	UKB-a:106	1	Wald ratio	0.003398364	0.042626013	0.936455872	rs2070074
CCL27	Non-cancer illness code  self-reported: gout	UKB-a:107	1	Wald ratio	-0.008199604	0.109416192	0.940262782	rs2070074
CCL27	Non-cancer illness code  self-reported: uterine fibroids	UKB-a:91	1	Wald ratio	0.007296871	0.103626502	0.943863272	rs2070074
CCL27	LDL cholesterol	300	1	Wald ratio	0.001869159	0.02741433	0.9456409	rs2070074
CCL27	Non-cancer illness code  self-reported: hayfever or allergic rhinitis	UKB-a:94	1	Wald ratio	0.00350582	0.052453229	0.946711417	rs2070074
CCL27	Triglycerides	302	1	Wald ratio	0.001557632	0.024610592	0.949534671	rs2070074
CCL27	Creatinine (enzymatic) in urine	UKB-a:333	1	Wald ratio	0.000696174	0.012202212	0.954502867	rs2070074
CCL27	Non-cancer illness code  self-reported: retinal detachment	UKB-a:80	1	Wald ratio	-0.013717295	0.241734414	0.954748079	rs2070074
CCL27	Diagnoses - main ICD10: N81 Female genital prolapse	UKB-a:577	1	Wald ratio	0.004917971	0.107548641	0.963527142	rs2070074
CCL27	Sodium in urine	UKB-a:335	1	Wald ratio	-0.00039715	0.012545607	0.974746017	rs2070074
CCL27	Diastolic blood pressure  automated reading	UKB-a:359	1	Wald ratio	-0.000334383	0.013074174	0.979595645	rs2070074
CCL27	Sleep duration	UKB-a:9	1	Wald ratio	-0.000252278	0.009957352	0.979787087	rs2070074
CCL27	Low grade serous ovarian cancer	1122	1	Wald ratio	0.002713084	0.258099688	0.991612977	rs2070074
GDF11	Body mass index (BMI)	UKB-a:248	2	Inverse variance weighted	-0.0538694492288369	0.0101331487389648	1.05979438242905e-07	rs1815739
GDF11	Eczema	996	2	Inverse variance weighted	0.264319276178811	0.0717936024124648	0.000231724831240012	rs1815739
GDF11	Ulcerative colitis	970	1	Wald ratio	-0.221634204275534	0.0772638473657957	0.00412374973998942	rs1815739
GDF11	Lung adenocarcinoma	965	2	Inverse variance weighted	-0.297393802042941	0.116480748436683	0.0106750933802658	rs1815739
GDF11	Diagnoses - main ICD10: D25 Leiomyoma of uterus	UKB-a:522	2	Inverse variance weighted	-0.3036785921839	0.123458067575255	0.0139025636502649	rs1815739
GDF11	Diastolic blood pressure  automated reading	UKB-a:359	2	Inverse variance weighted	-0.024306865883294	0.0103795058884052	0.0191903072147707	rs1815739
GDF11	Neuroblastoma	816	2	Inverse variance weighted	-0.406617850160176	0.18246223155337	0.025846911283656	rs1815739
GDF11	Fracture resulting from simple fall	UKB-a:332	2	Inverse variance weighted	-0.0632913985838151	0.0284950222489576	0.0263415640176574	rs1815739
GDF11	Inflammatory bowel disease	294	1	Wald ratio	-0.128469714964371	0.0615243097998812	0.0367876369980142	rs1815739
GDF11	Red blood cell count	275	2	Inverse variance weighted	-0.0176495452696613	0.00937525891978192	0.0597591847443196	rs1815739
GDF11	Hip osteoarthritis	1169	2	Inverse variance weighted	0.239188447760992	0.127088437232808	0.0598274598197001	rs1815739
GDF11	Diagnoses - main ICD10: R55 Syncope and collapse	UKB-a:587	2	Inverse variance weighted	0.166297152075136	0.0919518263461429	0.0705248711859508	rs1815739
GDF11	Parkinson's disease	812	2	Inverse variance weighted	0.302143297340613	0.1730352727957	0.0807871436036108	rs1815739
GDF11	Non-cancer illness code  self-reported: high cholesterol	UKB-a:108	2	Inverse variance weighted	-0.0502492535217262	0.028855273000865	0.0816093536028588	rs1815739
GDF11	LDL cholesterol	300	2	Inverse variance weighted	-0.0385693975343284	0.0224216324443969	0.0853984805665446	rs1815739
GDF11	Weight	UKB-a:249	2	Inverse variance weighted	-0.0361144868863789	0.0219685187859083	0.100192733199462	rs1815739
GDF11	Non-cancer illness code  self-reported: hiatus hernia	UKB-a:109	2	Inverse variance weighted	-0.168796470514493	0.106977135778369	0.114594496063721	rs1815739
GDF11	Thalamus volume	1048	2	Inverse variance weighted	55.7019875408935	35.3640176379721	0.115232559019709	rs1815739
GDF11	Cancer code  self-reported: malignant melanoma	UKB-a:58	2	Inverse variance weighted	0.147665102377617	0.10039866315631	0.141348584287087	rs1815739
GDF11	Chronic kidney disease	1102	2	Inverse variance weighted	0.0949795928263245	0.0650717739843729	0.144396525297941	rs1815739
GDF11	Diagnoses - main ICD10: K80 Cholelithiasis	UKB-a:559	2	Inverse variance weighted	-0.110025987094438	0.0793752996590579	0.165701430525181	rs1815739
GDF11	Subjective well being	1009	2	Inverse variance weighted	-0.026511536406341	0.0194200825719048	0.172202500635947	rs1815739
